"V1" "V2"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E368_3mob[c]_accoa[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "x(17)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E78_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E442_atp[c]_cu2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E94_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "x(131)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "x(137)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E126_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E224_ahcys[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "x(468)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E499_hmppp9[c]_nadp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E14_ahdt[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E71_3mob[c]_accoa[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "x(121)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E333_trdox[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E429_atp[c]_fe2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E452_amet[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E427_nadp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "(x(489)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "x(491))"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "x(812)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "(x(194)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "x(43)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E385_uppg3[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E350_imacp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E360_3mob[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E98_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E371_sucbz[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "x(521)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E376_14dh2napcoa[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E93_atp[c]_cu2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E177_agm[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E14_dhpmp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E199_udpsq[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E47_fdp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E276_fdp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E170_arg__L[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E17_4gudbutn[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E178_4gudbutn[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E110_asn__L[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E131_asn__L[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E258_gthrd[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E42_cgly[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E156_6pgl[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E349_ctp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E49_2pglyc[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E273_2pglyc[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E274_2pglyc[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E56_gtp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E58_amp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E315_amp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E7_atp[c]_cobalt2[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E415_atp[c]_cobalt2[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E91_atp[c]_ca2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E433_atp[c]_ca2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E382_25dhpp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E103_adprib[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E474_adprib[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E477_csn[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E316_fmn[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E105_gtp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E482_amp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E329_arg__L[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E121_cytd[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E122_amp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E58_cmp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E315_cmp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E333_ctp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E179_10fthf[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E88_atp[c]_cobalt2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E349_dctp[c]_complex"
